Rank,Player,G,MP,PTS,AST,STL,FG%,3P%,FT%,WS,WS/48,Share
1,James Harden\hardeja01,72,35.4,30.4,8.8,1.8,0.449,0.367,0.858,15.4,0.289,0.955
2,LeBron James\jamesle01,82,36.9,27.5,9.1,1.4,0.542,0.367,0.731,14,0.221,0.731
3,Anthony Davis\davisan02,75,36.4,28.1,2.3,1.5,0.534,0.34,0.828,13.7,0.241,0.441
4,Damian Lillard\lillada01,73,36.6,26.9,6.6,1.1,0.439,0.361,0.916,12.6,0.227,0.205
5,Russell Westbrook\westbru01,80,36.4,25.4,10.3,1.8,0.449,0.298,0.737,10.1,0.166,0.075
6,Giannis Antetokounmpo\antetgi01,75,36.7,26.9,4.8,1.5,0.529,0.307,0.76,11.9,0.207,0.074
7,Kevin Durant\duranke01,68,34.2,26.4,5.4,0.7,0.516,0.419,0.889,10.4,0.215,0.065
8,DeMar DeRozan\derozde01,80,33.9,23,5.2,1.1,0.456,0.31,0.825,9.6,0.17,0.032
9,LaMarcus Aldridge\aldrila01,75,33.5,23.1,2,0.6,0.51,0.293,0.837,10.9,0.209,0.006
10T,Jimmy Butler\butleji01,59,36.7,22.2,4.9,2,0.474,0.35,0.854,8.9,0.198,0.005
10T,Stephen Curry\curryst01,51,32,26.4,6.1,1.6,0.495,0.423,0.921,9.1,0.267,0.005
